Local_time,Unit,RunNumber,MWSEL
2026-01-06 21:07:00+00:00,U1,2,0.43
2026-01-06 21:08:00+00:00,U1,2,1.59
2026-01-06 21:09:00+00:00,U1,2,1.89
2026-01-06 21:10:00+00:00,U1,2,3.82
2026-01-06 21:11:00+00:00,U1,2,3.89
2026-01-06 21:12:00+00:00,U1,2,4.08
2026-01-06 21:13:00+00:00,U1,2,6.09
2026-01-06 21:14:00+00:00,U1,2,3.63
2026-01-06 21:15:00+00:00,U1,2,4.73
2026-01-06 21:16:00+00:00,U1,2,11.98
2026-01-06 21:17:00+00:00,U1,2,15.41
2026-01-06 21:18:00+00:00,U1,2,12.86
2026-01-06 21:19:00+00:00,U1,2,15.38
2026-01-06 21:20:00+00:00,U1,2,20.66
2026-01-06 21:21:00+00:00,U1,2,18.35
2026-01-06 21:22:00+00:00,U1,2,15.45
2026-01-06 21:23:00+00:00,U1,2,29.12
2026-01-06 21:24:00+00:00,U1,2,33.96
2026-01-06 21:25:00+00:00,U1,2,23.58
2026-01-06 21:26:00+00:00,U1,2,26.83
2026-01-06 21:27:00+00:00,U1,2,30.17
2026-01-06 21:28:00+00:00,U1,2,28.4
2026-01-06 21:29:00+00:00,U1,2,26.17
2026-01-06 21:30:00+00:00,U1,2,57.36
2026-01-06 21:31:00+00:00,U1,2,23.26
2026-01-06 21:32:00+00:00,U1,2,64.37
2026-01-06 21:33:00+00:00,U1,2,50.33
2026-01-06 21:34:00+00:00,U1,2,65.98
2026-01-06 21:35:00+00:00,U1,2,46.34
2026-01-06 21:36:00+00:00,U1,2,45.58
2026-01-06 21:37:00+00:00,U1,2,57.96
2026-01-06 21:38:00+00:00,U1,2,114.2
2026-01-06 21:39:00+00:00,U1,2,111.38
2026-01-06 21:40:00+00:00,U1,2,102.63
2026-01-06 21:41:00+00:00,U1,2,83.85
2026-01-06 21:42:00+00:00,U1,2,78.06
2026-01-06 21:43:00+00:00,U1,2,63.97
2026-01-06 21:44:00+00:00,U1,2,58.76
2026-01-06 21:45:00+00:00,U1,2,52.21
2026-01-06 21:46:00+00:00,U1,2,52.95
2026-01-06 21:47:00+00:00,U1,2,52.7
2026-01-06 21:48:00+00:00,U1,2,52.46
2026-01-06 21:49:00+00:00,U1,2,54.26
2026-01-06 21:50:00+00:00,U1,2,47.42
2026-01-06 21:51:00+00:00,U1,2,40.54
2026-01-06 21:52:00+00:00,U1,2,34.14
2026-01-06 21:53:00+00:00,U1,2,27.5
2026-01-06 21:54:00+00:00,U1,2,21.99
2026-01-06 21:55:00+00:00,U1,2,16.98
2026-01-06 21:56:00+00:00,U1,2,12.76
2026-01-06 21:57:00+00:00,U1,2,9.09
2026-01-06 21:58:00+00:00,U1,2,6.54
2026-01-06 21:59:00+00:00,U1,2,4.13
2026-01-06 22:00:00+00:00,U1,2,2.38
2026-01-06 22:01:00+00:00,U1,2,0.63
2026-01-06 22:02:00+00:00,U1,2,0.0
2026-01-06 22:03:00+00:00,U1,2,0.68
2026-01-06 22:04:00+00:00,U1,2,0.29
2026-01-06 22:05:00+00:00,U1,2,0.16
2026-01-06 22:06:00+00:00,U1,2,0.0
2026-01-06 22:07:00+00:00,U1,2,0.1
2026-01-06 22:08:00+00:00,U1,2,0.0
2026-01-06 22:09:00+00:00,U1,2,1.19
2026-01-06 22:10:00+00:00,U1,2,2.31
2026-01-06 22:11:00+00:00,U1,2,4.17
2026-01-06 22:12:00+00:00,U1,2,4.97
2026-01-06 22:13:00+00:00,U1,2,6.71
2026-01-06 22:14:00+00:00,U1,2,7.87
2026-01-06 22:15:00+00:00,U1,2,9.57
2026-01-06 22:16:00+00:00,U1,2,10.4
2026-01-06 22:17:00+00:00,U1,2,10.41
2026-01-06 22:18:00+00:00,U1,2,12.11
2026-01-06 22:19:00+00:00,U1,2,13.02
2026-01-06 22:20:00+00:00,U1,2,13.38
2026-01-06 22:21:00+00:00,U1,2,14.03
2026-01-06 22:22:00+00:00,U1,2,14.71
2026-01-06 22:23:00+00:00,U1,2,12.01
2026-01-06 22:24:00+00:00,U1,2,9.41
2026-01-06 22:25:00+00:00,U1,2,8.03
2026-01-06 22:26:00+00:00,U1,2,6.21
2026-01-06 22:27:00+00:00,U1,2,3.18
2026-01-06 22:28:00+00:00,U1,2,0.13
2026-01-06 22:29:00+00:00,U1,2,0.0
2026-01-06 22:30:00+00:00,U1,2,1.02
2026-01-06 22:31:00+00:00,U1,2,0.81
2026-01-06 22:32:00+00:00,U1,2,0.0
2026-01-06 22:33:00+00:00,U1,2,0.0
2026-01-06 22:34:00+00:00,U1,2,0.0
2026-01-06 22:35:00+00:00,U1,2,0.0
2026-01-06 22:36:00+00:00,U1,2,0.0
2026-01-06 22:37:00+00:00,U1,2,0.13
